, 서울,gu,dong,school_name,school_walk_min,time_gangnam,time_yeouido,time_cityhall,complex_name,building_type,year_built,complex_size,households,layout_type,rooms,bathrooms,pyeong,peak_price,current_price,price_jeonse,drop_from_peak_pct,expert_comment,risk_comment,jeonse_ratio,price_gap
793,도봉2,도봉, 도봉구 노해로 315,서울창동초,5 ,50 ,62 ,45 ,창동주공1,구축,1990 ,중단지,808 ,복도식,3 ,1 ,24 ,77000 ,64000 ,31000 ,-17%,,,0.48 ,33000 
2201,은평1,은평, 은평구 수색로18길 19,수색초등학교,12 ,55 ,30 ,35 ,수색 E편한세상수색에코포레,준신축,2003 ,중단지,976 ,계단식,3 ,1 ,24 ,78000 ,64000 ,45000 ,-18%,,,0.70 ,19000 
2313,중랑3,중랑, 중랑구 신내로 115,금성/내솔초,5 ,55 ,65 ,50 ,신내 6단지시영,구축,1996 ,대단지,1609 ,복도식,2 ,1 ,24 ,75500 ,64000 ,35000 ,-15%,,,0.55 ,29000 
310,강북2,강북,강북구 오현로 56,서울송중초,5 ,48 ,52 ,36 ,미아 경남아너스빌,준신축,2003 ,중단지,860 ,복도식,3 ,1 ,24 ,77000 ,65000 ,37000 ,-16%,,,0.57 ,28000 
677,구로2,구로,구로구 연동로 231,서울항동초,3 ,60 ,45 ,52 ,항동 하버라인3,신축,2019 ,대단지,1170 ,계단식,3 ,2 ,24 ,82800 ,65000 ,50000 ,-21%,,,0.77 ,15000 
719,구로4,구로,구로구 경인로31길 63,서울개웅초,6 ,53 ,33 ,46 ,개봉 한진타운,준신축,2000 ,대단지,1371 ,계단식,3 ,2 ,33 ,78000 ,65000 ,43000 ,-17%,,,0.66 ,22000 
741,노원2,노원,노원구 섬밭로 285,서울중계초,3 ,52 ,62 ,45 ,중계그린,구축,1990 ,대단지,3481 ,계단식,3 ,1 ,21 ,66000 ,65000 ,28000 ,-2%,,,0.43 ,37000 
773,노원2,노원, 노원구 노원로 455,서울상계초,5 ,50 ,62 ,42 ,상계 주공5,구축,1987 ,중단지,840 ,계단식,1 ,1 ,11 ,80000 ,65000 ,10000 ,-19%,,,0.15 ,55000 
807,도봉3,도봉, 도봉구 시루봉로 70,서울숭미초,5 ,60 ,72 ,53 ,쌍문 북한산코오롱하늘채,준신축,2014 ,소단지,293 ,계단식,3 ,2 ,24 ,65000 ,65000 ,38000 ,0%,,,0.58 ,27000 
1736,송파4,송파, 송파구 토성로 38-11,서울토성초,3 ,40 ,38 ,42 ,풍납 현대리버빌2차,구축,1999 ,소단지,384 ,복도식,1 ,1 ,18 ,75000 ,65000 ,35000 ,-13%,,,0.54 ,30000 
2212,은평1,은평, 은평구 수색로 260,수색초등학교,8 ,52 ,25 ,30 ,수색 DMC롯데캐슬더퍼스트,신축,2021 ,대단지,1192 ,계단식,1 ,1 ,18 ,0 ,65000 ,37000 ,#DIV/0!,,,0.57 ,28000 
442,강서4,강서,강서구 방화대로47길 11,서울방화초,3 ,54 ,27 ,41 ,방화 개화산동부센트레빌,준신축,2003 ,소단지,205 ,계단식,3 ,2 ,25 ,68000 ,67000 ,40000 ,-1%,,,0.60 ,27000 
725,구로3,구로,구로구 개봉로3길 84,서울개명초,5 ,56 ,36 ,49 ,개봉 삼환,구축,1995 ,중단지,783 ,계단식,3 ,2 ,33 ,76000 ,67000 ,40000 ,-12%,,,0.60 ,27000 
742,노원2,노원,노원구 섬밭로 285,서울중계초,3 ,52 ,62 ,45 ,중계그린,구축,1990 ,대단지,3481 ,계단식,2 ,1 ,24 ,78000 ,67000 ,31000 ,-14%,,,0.46 ,36000 
743,노원2,노원,노원구 섬밭로 285,서울중계초,3 ,52 ,62 ,45 ,중계그린,구축,1990 ,대단지,3481 ,복도식,2 ,1 ,24 ,75000 ,67000 ,33000 ,-11%,,,0.49 ,34000 
